id,code,name,wilaya_id,wilaya_name,moughataa_id,moughataa_name,address,latitude,longitude,phone,email,opening_hours,status,tier,float_balance,max_float,license_number,license_expiry,created_at,updated_at
11,NKC-N-011,Agence Nouakchott-Nord 11,1,Nouakchott-Nord,2,,"Rue 26, undefined",NaN,NaN,+22224885129,agence.nkcn011@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2776000,2000000,LIC-000011,2027-08-07,2023-01-20T22:27:58.130Z,2024-12-08T20:43:29.565Z
12,NKC-N-012,Agence Nouakchott-Nord 12,1,Nouakchott-Nord,1,,"Rue 77, undefined",NaN,NaN,+22223241247,agence.nkcn012@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,375000,2000000,LIC-000012,2025-05-02,2023-04-10T05:33:04.952Z,2024-01-04T09:32:12.714Z
13,NKC-N-013,Agence Nouakchott-Nord 13,1,Nouakchott-Nord,3,,"Rue 38, undefined",NaN,NaN,+22225318167,agence.nkcn013@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2191000,2000000,LIC-000013,2027-09-19,2021-08-22T16:32:41.420Z,2024-04-23T22:00:51.180Z
14,NKC-N-014,Agence Nouakchott-Nord 14,1,Nouakchott-Nord,2,,"Rue 89, undefined",NaN,NaN,+22222072880,agence.nkcn014@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2906000,2000000,LIC-000014,2027-10-24,2023-06-20T02:54:54.479Z,2024-01-19T05:20:15.047Z
15,NKC-N-015,Agence Nouakchott-Nord 15,1,Nouakchott-Nord,2,,"Rue 84, undefined",NaN,NaN,+22236613852,agence.nkcn015@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3356000,2000000,LIC-000015,2025-10-16,2021-03-24T22:40:37.753Z,2024-02-29T09:47:25.083Z
16,NKC-N-016,Agence Nouakchott-Nord 16,1,Nouakchott-Nord,1,,"Rue 68, undefined",NaN,NaN,+22232163261,agence.nkcn016@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,955000,2000000,LIC-000016,2025-02-24,2022-12-27T22:35:33.959Z,2024-05-07T12:45:39.926Z
17,NKC-N-017,Agence Nouakchott-Nord 17,1,Nouakchott-Nord,2,,"Rue 41, undefined",NaN,NaN,+22236665785,agence.nkcn017@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,320000,2000000,LIC-000017,2025-05-15,2020-09-17T16:47:54.164Z,2024-09-29T08:23:06.374Z
18,NKC-N-018,Agence Nouakchott-Nord 18,1,Nouakchott-Nord,3,,"Rue 17, undefined",NaN,NaN,+22223721679,agence.nkcn018@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4277000,2000000,LIC-000018,2026-11-04,2022-10-18T06:49:56.056Z,2024-02-07T14:31:47.907Z
19,NKC-N-019,Agence Nouakchott-Nord 19,1,Nouakchott-Nord,3,,"Rue 96, undefined",NaN,NaN,+22224704922,agence.nkcn019@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,424000,2000000,LIC-000019,2026-04-10,2020-10-13T00:14:45.928Z,2024-08-15T00:55:59.201Z
20,NKC-O-001,Agence Nouakchott-Ouest 1,2,Nouakchott-Ouest,4,,"Rue 46, undefined",NaN,NaN,+22222463621,agence.nkco001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3270000,10000000,LIC-000020,2027-10-02,2023-06-11T10:47:46.472Z,2024-11-11T20:29:24.331Z
21,NKC-O-002,Agence Nouakchott-Ouest 2,2,Nouakchott-Ouest,6,,"Rue 97, undefined",NaN,NaN,+22225624796,agence.nkco002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3340000,10000000,LIC-000021,2026-12-24,2022-06-20T19:25:12.015Z,2024-01-23T04:37:01.257Z
22,NKC-O-003,Agence Nouakchott-Ouest 3,2,Nouakchott-Ouest,5,,"Rue 92, undefined",NaN,NaN,+22224091646,agence.nkco003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3342000,5000000,LIC-000022,2026-09-16,2020-10-21T13:49:13.566Z,2024-03-10T03:50:02.960Z
23,NKC-O-004,Agence Nouakchott-Ouest 4,2,Nouakchott-Ouest,5,,"Rue 95, undefined",NaN,NaN,+22236911728,agence.nkco004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4675000,5000000,LIC-000023,2025-12-04,2023-06-03T12:22:27.241Z,2024-05-24T10:30:59.919Z
24,NKC-O-005,Agence Nouakchott-Ouest 5,2,Nouakchott-Ouest,4,,"Rue 35, undefined",NaN,NaN,+22237325969,agence.nkco005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,2129000,5000000,LIC-000024,2025-01-12,2021-01-14T13:28:30.820Z,2024-09-23T11:33:37.443Z
25,NKC-O-006,Agence Nouakchott-Ouest 6,2,Nouakchott-Ouest,6,,"Rue 84, undefined",NaN,NaN,+22223249617,agence.nkco006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1330000,2000000,LIC-000025,2027-04-11,2023-06-17T20:45:04.617Z,2024-08-18T02:45:31.684Z
26,NKC-O-007,Agence Nouakchott-Ouest 7,2,Nouakchott-Ouest,5,,"Rue 76, undefined",NaN,NaN,+22224129587,agence.nkco007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,183000,2000000,LIC-000026,2027-02-06,2023-04-13T05:13:11.391Z,2024-11-16T05:48:29.501Z
27,NKC-O-008,Agence Nouakchott-Ouest 8,2,Nouakchott-Ouest,4,,"Rue 36, undefined",NaN,NaN,+22235341959,agence.nkco008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,727000,2000000,LIC-000027,2027-10-02,2022-04-26T02:24:29.712Z,2024-04-27T04:57:33.103Z
28,NKC-O-009,Agence Nouakchott-Ouest 9,2,Nouakchott-Ouest,4,,"Rue 63, undefined",NaN,NaN,+22236861377,agence.nkco009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4880000,2000000,LIC-000028,2026-11-05,2020-03-11T12:05:48.474Z,2024-04-24T02:52:40.511Z
29,NKC-O-010,Agence Nouakchott-Ouest 10,2,Nouakchott-Ouest,4,,"Rue 86, undefined",NaN,NaN,+22234859954,agence.nkco010@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4419000,2000000,LIC-000029,2025-05-27,2023-02-17T04:08:20.153Z,2024-04-14T15:52:46.260Z
30,NKC-O-011,Agence Nouakchott-Ouest 11,2,Nouakchott-Ouest,6,,"Rue 71, undefined",NaN,NaN,+22222645160,agence.nkco011@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3426000,2000000,LIC-000030,2027-11-04,2021-08-29T02:05:47.448Z,2024-07-28T01:45:46.137Z
31,NKC-O-012,Agence Nouakchott-Ouest 12,2,Nouakchott-Ouest,6,,"Rue 67, undefined",NaN,NaN,+22249833019,agence.nkco012@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1890000,2000000,LIC-000031,2025-11-26,2023-11-08T15:13:12.534Z,2024-09-05T07:33:26.889Z
32,NKC-O-013,Agence Nouakchott-Ouest 13,2,Nouakchott-Ouest,5,,"Rue 99, undefined",NaN,NaN,+22224728411,agence.nkco013@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,351000,2000000,LIC-000032,2027-10-09,2023-12-22T19:26:40.975Z,2024-11-07T23:26:54.480Z
33,NKC-O-014,Agence Nouakchott-Ouest 14,2,Nouakchott-Ouest,5,,"Rue 29, undefined",NaN,NaN,+22222956224,agence.nkco014@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1501000,2000000,LIC-000033,2027-12-20,2022-06-25T01:51:14.292Z,2024-06-06T10:38:18.490Z
34,NKC-O-015,Agence Nouakchott-Ouest 15,2,Nouakchott-Ouest,5,,"Rue 47, undefined",NaN,NaN,+22223074670,agence.nkco015@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,835000,2000000,LIC-000034,2025-05-09,2020-12-11T21:58:22.086Z,2024-02-04T21:51:50.863Z
35,NKC-O-016,Agence Nouakchott-Ouest 16,2,Nouakchott-Ouest,4,,"Rue 83, undefined",NaN,NaN,+22225422697,agence.nkco016@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3791000,2000000,LIC-000035,2027-04-26,2023-04-23T15:43:20.697Z,2024-10-02T21:14:48.029Z
36,NKC-O-017,Agence Nouakchott-Ouest 17,2,Nouakchott-Ouest,5,,"Rue 82, undefined",NaN,NaN,+22247846527,agence.nkco017@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,999000,2000000,LIC-000036,2025-02-26,2023-09-16T17:47:34.934Z,2024-03-04T07:53:08.152Z
37,NKC-O-018,Agence Nouakchott-Ouest 18,2,Nouakchott-Ouest,5,,"Rue 77, undefined",NaN,NaN,+22224846764,agence.nkco018@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,288000,2000000,LIC-000037,2025-01-26,2023-01-08T15:12:20.354Z,2024-05-19T15:04:42.556Z
38,NKC-O-019,Agence Nouakchott-Ouest 19,2,Nouakchott-Ouest,6,,"Rue 86, undefined",NaN,NaN,+22225008747,agence.nkco019@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3892000,2000000,LIC-000038,2027-07-14,2022-05-22T00:44:08.011Z,2024-09-14T08:07:49.329Z
39,NKC-O-020,Agence Nouakchott-Ouest 20,2,Nouakchott-Ouest,5,,"Rue 83, undefined",NaN,NaN,+22236907536,agence.nkco020@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3225000,2000000,LIC-000039,2026-12-16,2023-12-19T14:23:14.113Z,2024-02-03T17:38:15.649Z
40,NKC-O-021,Agence Nouakchott-Ouest 21,2,Nouakchott-Ouest,5,,"Rue 85, undefined",NaN,NaN,+22232201514,agence.nkco021@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4831000,2000000,LIC-000040,2026-03-13,2021-01-07T22:17:39.117Z,2024-06-28T15:47:54.628Z
41,NKC-O-022,Agence Nouakchott-Ouest 22,2,Nouakchott-Ouest,6,,"Rue 62, undefined",NaN,NaN,+22222823696,agence.nkco022@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4430000,2000000,LIC-000041,2026-11-03,2020-08-06T23:35:59.981Z,2024-09-04T08:09:39.767Z
42,NKC-O-023,Agence Nouakchott-Ouest 23,2,Nouakchott-Ouest,6,,"Rue 80, undefined",NaN,NaN,+22235587089,agence.nkco023@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3140000,2000000,LIC-000042,2027-06-11,2021-02-21T16:39:04.293Z,2024-09-28T04:26:31.833Z
43,NKC-S-001,Agence Nouakchott-Sud 1,3,Nouakchott-Sud,8,,"Rue 10, undefined",NaN,NaN,+22232456290,agence.nkcs001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3610000,10000000,LIC-000043,2027-06-27,2020-01-08T01:14:16.796Z,2024-10-10T19:27:40.675Z
44,NKC-S-002,Agence Nouakchott-Sud 2,3,Nouakchott-Sud,8,,"Rue 90, undefined",NaN,NaN,+22233502834,agence.nkcs002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2620000,10000000,LIC-000044,2027-08-21,2022-02-07T15:54:41.921Z,2024-03-08T04:55:34.243Z
45,NKC-S-003,Agence Nouakchott-Sud 3,3,Nouakchott-Sud,7,,"Rue 67, undefined",NaN,NaN,+22234815015,agence.nkcs003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,1899000,5000000,LIC-000045,2025-07-15,2023-07-26T13:16:25.831Z,2024-06-15T21:18:34.174Z
46,NKC-S-004,Agence Nouakchott-Sud 4,3,Nouakchott-Sud,7,,"Rue 83, undefined",NaN,NaN,+22236234923,agence.nkcs004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4111000,5000000,LIC-000046,2027-04-08,2022-09-26T18:07:49.056Z,2024-12-14T23:00:54.173Z
47,NKC-S-005,Agence Nouakchott-Sud 5,3,Nouakchott-Sud,7,,"Rue 3, undefined",NaN,NaN,+22222634486,agence.nkcs005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,2831000,5000000,LIC-000047,2025-02-14,2023-12-20T19:17:14.853Z,2024-09-24T20:57:30.067Z
48,NKC-S-006,Agence Nouakchott-Sud 6,3,Nouakchott-Sud,8,,"Rue 49, undefined",NaN,NaN,+22233744323,agence.nkcs006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4913000,2000000,LIC-000048,2025-02-03,2022-06-03T08:45:16.969Z,2024-06-14T17:31:16.962Z
49,NKC-S-007,Agence Nouakchott-Sud 7,3,Nouakchott-Sud,7,,"Rue 97, undefined",NaN,NaN,+22237916874,agence.nkcs007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3591000,2000000,LIC-000049,2025-06-01,2022-11-03T02:47:23.906Z,2024-06-26T13:35:57.272Z
50,NKC-S-008,Agence Nouakchott-Sud 8,3,Nouakchott-Sud,9,,"Rue 46, undefined",NaN,NaN,+22234920322,agence.nkcs008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2029000,2000000,LIC-000050,2025-11-28,2021-05-23T04:27:33.940Z,2024-12-13T13:19:21.402Z
51,NKC-S-009,Agence Nouakchott-Sud 9,3,Nouakchott-Sud,8,,"Rue 36, undefined",NaN,NaN,+22225184775,agence.nkcs009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3880000,2000000,LIC-000051,2026-08-21,2020-07-21T20:28:05.812Z,2024-10-01T06:38:17.017Z
52,NKC-S-010,Agence Nouakchott-Sud 10,3,Nouakchott-Sud,9,,"Rue 57, undefined",NaN,NaN,+22223528176,agence.nkcs010@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1682000,2000000,LIC-000052,2027-01-07,2020-04-11T02:27:41.454Z,2024-07-05T14:06:33.209Z
53,NKC-S-011,Agence Nouakchott-Sud 11,3,Nouakchott-Sud,8,,"Rue 39, undefined",NaN,NaN,+22222292786,agence.nkcs011@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1729000,2000000,LIC-000053,2027-07-21,2021-04-18T05:41:49.962Z,2024-02-11T17:15:20.086Z
54,NKC-S-012,Agence Nouakchott-Sud 12,3,Nouakchott-Sud,9,,"Rue 49, undefined",NaN,NaN,+22222070629,agence.nkcs012@nafadpay.mr,08:00-18:00,INACTIVE,BRONZE,446000,2000000,LIC-000054,2025-02-25,2023-02-18T22:10:21.195Z,2024-09-23T05:44:03.839Z
55,NKC-S-013,Agence Nouakchott-Sud 13,3,Nouakchott-Sud,8,,"Rue 16, undefined",NaN,NaN,+22225822407,agence.nkcs013@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,376000,2000000,LIC-000055,2027-10-26,2021-03-08T13:24:37.122Z,2024-10-18T05:45:29.585Z
56,NKC-S-014,Agence Nouakchott-Sud 14,3,Nouakchott-Sud,9,,"Rue 57, undefined",NaN,NaN,+22246499320,agence.nkcs014@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,3258000,2000000,LIC-000056,2026-10-09,2020-06-06T05:16:12.124Z,2024-11-05T17:53:01.569Z
57,NKC-S-015,Agence Nouakchott-Sud 15,3,Nouakchott-Sud,7,,"Rue 50, undefined",NaN,NaN,+22237700654,agence.nkcs015@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,167000,2000000,LIC-000057,2026-10-03,2023-09-02T14:05:51.134Z,2024-02-13T13:25:30.757Z
58,NDB-001,Agence Dakhlet Nouadhibou 1,4,Dakhlet Nouadhibou,10,,"Rue 3, undefined",NaN,NaN,+22223977282,agence.ndb001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,573000,10000000,LIC-000058,2026-12-22,2022-03-29T16:20:24.888Z,2024-12-01T01:59:54.084Z
59,NDB-002,Agence Dakhlet Nouadhibou 2,4,Dakhlet Nouadhibou,10,,"Rue 60, undefined",NaN,NaN,+22236965147,agence.ndb002@nafadpay.mr,08:00-18:00,INACTIVE,GOLD,4843000,10000000,LIC-000059,2025-10-09,2023-10-14T15:07:29.914Z,2024-12-19T03:21:40.915Z
60,NDB-003,Agence Dakhlet Nouadhibou 3,4,Dakhlet Nouadhibou,10,,"Rue 8, undefined",NaN,NaN,+22235935913,agence.ndb003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,910000,5000000,LIC-000060,2026-11-26,2023-04-01T22:51:14.767Z,2024-11-15T14:31:30.914Z
61,NDB-004,Agence Dakhlet Nouadhibou 4,4,Dakhlet Nouadhibou,10,,"Rue 55, undefined",NaN,NaN,+22249825781,agence.ndb004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4161000,5000000,LIC-000061,2027-12-22,2020-04-08T08:04:39.242Z,2024-10-21T01:36:10.195Z
62,NDB-005,Agence Dakhlet Nouadhibou 5,4,Dakhlet Nouadhibou,10,,"Rue 43, undefined",NaN,NaN,+22246713066,agence.ndb005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,1475000,5000000,LIC-000062,2027-08-06,2023-01-23T14:55:30.813Z,2024-03-16T11:37:57.379Z
63,NDB-006,Agence Dakhlet Nouadhibou 6,4,Dakhlet Nouadhibou,10,,"Rue 2, undefined",NaN,NaN,+22223138435,agence.ndb006@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,2824000,2000000,LIC-000063,2027-01-04,2020-06-24T08:28:57.793Z,2024-02-14T08:21:44.369Z
64,NDB-007,Agence Dakhlet Nouadhibou 7,4,Dakhlet Nouadhibou,10,,"Rue 49, undefined",NaN,NaN,+22223968726,agence.ndb007@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,748000,2000000,LIC-000064,2025-03-05,2020-05-20T17:17:10.399Z,2024-06-16T15:46:54.861Z
65,NDB-008,Agence Dakhlet Nouadhibou 8,4,Dakhlet Nouadhibou,10,,"Rue 25, undefined",NaN,NaN,+22232298821,agence.ndb008@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,1713000,2000000,LIC-000065,2025-08-18,2020-11-22T20:56:04.140Z,2024-04-26T01:37:24.644Z
66,NDB-009,Agence Dakhlet Nouadhibou 9,4,Dakhlet Nouadhibou,10,,"Rue 9, undefined",NaN,NaN,+22222643424,agence.ndb009@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4990000,2000000,LIC-000066,2025-09-03,2023-03-02T20:59:52.437Z,2024-11-10T20:59:30.668Z
67,NDB-010,Agence Dakhlet Nouadhibou 10,4,Dakhlet Nouadhibou,10,,"Rue 3, undefined",NaN,NaN,+22236210955,agence.ndb010@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,4559000,2000000,LIC-000067,2027-04-05,2020-11-18T18:41:23.557Z,2024-03-14T14:33:29.201Z
68,NDB-011,Agence Dakhlet Nouadhibou 11,4,Dakhlet Nouadhibou,10,,"Rue 36, undefined",NaN,NaN,+22233714321,agence.ndb011@nafadpay.mr,08:00-18:00,INACTIVE,BRONZE,792000,2000000,LIC-000068,2027-07-26,2021-02-04T00:58:00.556Z,2024-05-08T13:36:04.397Z
69,NDB-012,Agence Dakhlet Nouadhibou 12,4,Dakhlet Nouadhibou,10,,"Rue 74, undefined",NaN,NaN,+22233361285,agence.ndb012@nafadpay.mr,08:00-18:00,ACTIVE,BRONZE,445000,2000000,LIC-000069,2027-10-02,2020-07-11T05:13:13.449Z,2024-07-25T14:39:26.873Z
70,TRZ-001,Agence Trarza 1,5,Trarza,11,,"Rue 79, undefined",NaN,NaN,+22223574324,agence.trz001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3009000,10000000,LIC-000070,2025-08-09,2021-09-20T09:25:20.083Z,2024-06-26T00:25:43.919Z
71,TRZ-002,Agence Trarza 2,5,Trarza,14,,"Rue 28, undefined",NaN,NaN,+22237615997,agence.trz002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2994000,10000000,LIC-000071,2025-01-21,2020-10-20T14:06:57.286Z,2024-04-15T07:58:23.069Z
72,TRZ-003,Agence Trarza 3,5,Trarza,14,,"Rue 97, undefined",NaN,NaN,+22223606181,agence.trz003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3611000,5000000,LIC-000072,2027-01-04,2020-05-12T06:23:05.853Z,2024-08-24T21:14:47.159Z
73,TRZ-004,Agence Trarza 4,5,Trarza,11,,"Rue 64, undefined",NaN,NaN,+22241731424,agence.trz004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3537000,5000000,LIC-000073,2027-08-09,2021-11-10T02:10:24.850Z,2024-02-10T19:52:26.695Z
74,TRZ-005,Agence Trarza 5,5,Trarza,14,,"Rue 12, undefined",NaN,NaN,+22222582210,agence.trz005@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4579000,5000000,LIC-000074,2026-12-14,2021-10-09T11:48:00.861Z,2024-10-20T03:32:43.543Z
75,BRK-001,Agence Brakna 1,6,Brakna,21,,"Rue 8, undefined",NaN,NaN,+22223413037,agence.brk001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,868000,10000000,LIC-000075,2026-08-15,2021-06-13T20:10:41.715Z,2024-10-13T00:33:10.703Z
76,BRK-002,Agence Brakna 2,6,Brakna,17,,"Rue 75, undefined",NaN,NaN,+22223408714,agence.brk002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2158000,10000000,LIC-000076,2026-10-02,2023-10-10T00:56:17.663Z,2024-08-03T21:09:40.735Z
77,BRK-003,Agence Brakna 3,6,Brakna,19,,"Rue 15, undefined",NaN,NaN,+22224828951,agence.brk003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3157000,5000000,LIC-000077,2027-01-06,2021-05-28T20:54:20.460Z,2024-09-19T14:18:24.438Z
78,BRK-004,Agence Brakna 4,6,Brakna,17,,"Rue 69, undefined",NaN,NaN,+22236466640,agence.brk004@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,312000,5000000,LIC-000078,2025-11-10,2023-03-28T22:30:37.188Z,2024-10-15T00:24:39.519Z
79,GRG-001,Agence Gorgol 1,7,Gorgol,24,,"Rue 79, undefined",NaN,NaN,+22232201037,agence.grg001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2381000,10000000,LIC-000079,2026-03-20,2020-06-26T23:47:02.226Z,2024-03-29T04:35:50.071Z
80,GRG-002,Agence Gorgol 2,7,Gorgol,24,,"Rue 28, undefined",NaN,NaN,+22244719526,agence.grg002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,1454000,10000000,LIC-000080,2025-07-23,2021-05-09T22:36:11.323Z,2024-12-08T08:17:41.615Z
81,GRG-003,Agence Gorgol 3,7,Gorgol,23,,"Rue 39, undefined",NaN,NaN,+22223321449,agence.grg003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,3438000,5000000,LIC-000081,2025-10-23,2023-12-02T15:45:10.501Z,2024-03-02T01:58:56.261Z
82,GDM-001,Agence Guidimaka 1,8,Guidimaka,28,,"Rue 21, undefined",NaN,NaN,+22237633751,agence.gdm001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,2354000,10000000,LIC-000082,2026-01-05,2022-05-02T07:54:34.387Z,2024-05-04T09:08:57.957Z
83,GDM-002,Agence Guidimaka 2,8,Guidimaka,27,,"Rue 16, undefined",NaN,NaN,+22225231106,agence.gdm002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,3520000,10000000,LIC-000083,2026-04-27,2023-04-08T20:56:10.447Z,2024-12-14T18:49:27.764Z
84,ASB-001,Agence Assaba 1,9,Assaba,34,,"Rue 88, undefined",NaN,NaN,+22222821881,agence.asb001@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,745000,10000000,LIC-000084,2026-03-18,2020-10-08T04:43:13.828Z,2024-12-10T04:17:10.372Z
85,ASB-002,Agence Assaba 2,9,Assaba,32,,"Rue 81, undefined",NaN,NaN,+22237085082,agence.asb002@nafadpay.mr,08:00-18:00,ACTIVE,GOLD,1020000,10000000,LIC-000085,2027-12-01,2020-01-27T09:23:21.927Z,2024-05-30T06:51:50.106Z
86,ASB-003,Agence Assaba 3,9,Assaba,32,,"Rue 17, undefined",NaN,NaN,+22234792482,agence.asb003@nafadpay.mr,08:00-18:00,ACTIVE,SILVER,4001000,5000000,LIC-000086,2027-11-08,2022-08-17T17:12:47.110Z,2024-04-19T07:10:15.108Z
